Region,ISO_code,Cname,Vaccine,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
EMR,AFG,Afghanistan,DTP3,75,70,67,68,66,63,64,63,58,58,50,41,36,33,24
EUR,ALB,Albania,DTP3,98,99,99,99,99,98,99,98,97,98,97,97,98,97,97
AFR,DZA,Algeria,DTP3,95,95,95,95,95,95,93,95,95,88,86,87,86,89,86
EUR,AND,Andorra,DTP3,97,96,99,99,99,99,99,96,93,98,99,99,97,96,98
AFR,AGO,Angola,DTP3,80,93,91,86,91,73,81,83,44,47,47,46,47,42,31
AMR,ATG,Antigua and Barbuda,DTP3,99,99,98,99,98,99,99,99,99,99,97,99,98,97,95
AMR,ARG,Argentina,DTP3,94,94,91,92,94,94,94,91,91,98,93,96,93,83,83
EUR,ARM,Armenia,DTP3,93,95,95,95,94,93,89,88,87,90,91,94,94,94,93
WPR,AUS,Australia,DTP3,92,91,92,92,92,92,92,92,92,92,92,93,92,92,90
EUR,AUT,Austria,DTP3,83,83,83,83,83,83,83,85,83,86,83,84,83,84,81
EUR,AZE,Azerbaijan,DTP3,94,93,89,87,81,81,81,79,78,75,77,77,76,77,76
AMR,BHS,Bahamas (the),DTP3,96,97,98,98,99,96,93,95,95,93,93,92,94,99,99
EMR,BHR,Bahrain,DTP3,99,99,99,99,99,98,98,97,98,98,98,97,98,99,97
SEAR,BGD,Bangladesh,DTP3,95,95,95,95,94,97,96,94,94,93,99,87,83,85,82
AMR,BRB,Barbados,DTP3,94,91,87,91,86,93,85,93,84,92,93,89,87,84,93
EUR,BLR,Belarus,DTP3,97,98,98,98,98,96,97,95,99,99,99,50,99,99,99
EUR,BEL,Belgium,DTP3,99,99,99,98,98,98,99,98,98,97,95,95,95,95,95
AMR,BLZ,Belize,DTP3,95,95,98,95,96,97,94,96,98,96,97,96,89,96,91
AFR,BEN,Benin,DTP3,70,69,76,75,76,79,75,82,74,70,72,73,75,76,78
SEAR,BTN,Bhutan,DTP3,99,97,97,95,91,93,96,95,95,95,89,95,86,88,92
AMR,BOL,Bolivia (Plurinational State of),DTP3,94,94,93,95,91,93,88,84,83,85,84,88,77,71,75
EUR,BIH,Bosnia and Herzegovina,DTP3,86,89,92,88,89,90,91,95,87,93,84,87,80,91,85
AFR,BWA,Botswana,DTP3,95,95,95,95,95,96,96,96,96,96,96,96,97,97,97
AMR,BRA,Brazil,DTP3,93,97,95,99,99,99,99,99,99,99,99,99,99,98,98
WPR,BRN,Brunei Darussalam,DTP3,99,99,90,97,95,99,98,99,97,94,92,92,94,97,99
EUR,BGR,Bulgaria,DTP3,88,95,95,95,94,94,95,95,95,96,95,96,93,94,93
AFR,BFA,Burkina Faso,DTP3,91,88,90,91,91,92,93,89,86,82,79,79,69,62,45
AFR,BDI,Burundi,DTP3,95,96,96,96,96,94,92,99,92,87,83,82,81,81,80
AFR,CPV,Cabo Verde,DTP3,95,93,94,90,99,99,99,98,96,95,93,92,91,90,90
WPR,KHM,Cambodia,DTP3,97,92,95,94,92,94,91,82,80,82,85,69,54,60,59
AFR,CMR,Cameroon,DTP3,87,89,85,82,84,80,84,82,81,80,73,73,66,63,62
AMR,CAN,Canada,DTP3,96,96,95,96,96,95,95,94,95,93,91,91,88,89,89
AFR,CAF,Central African Republic (the),DTP3,47,23,47,47,45,42,45,48,51,54,51,47,44,40,37
AFR,TCD,Chad,DTP3,46,48,45,33,39,24,19,28,40,25,21,23,25,26,36
AMR,CHL,Chile,DTP3,92,91,90,94,92,94,95,96,94,91,93,96,97,97,91
WPR,CHN,China,DTP3,99,99,99,99,99,99,97,93,93,87,87,86,86,86,85
AMR,COL,Colombia,DTP3,90,91,91,85,88,92,92,93,93,93,89,92,81,80,79
AFR,COM,Comoros (the),DTP3,80,83,86,83,74,83,81,75,69,68,76,80,89,70,70
AFR,COG,Congo (the),DTP3,90,85,79,80,74,78,79,72,73,62,67,50,41,31,33
WPR,COK,Cook Islands,DTP3,99,98,98,93,99,82,99,99,99,99,99,96,97,90,92
AMR,CRI,Costa Rica,DTP3,91,95,91,85,88,86,90,89,89,91,90,88,94,91,88
AFR,CIV,Côte d'Ivoire,DTP3,67,80,82,62,85,81,74,76,77,76,67,61,64,66,65
EUR,HRV,Croatia,DTP3,95,96,96,96,97,96,96,96,96,96,96,94,95,94,93
AMR,CUB,Cuba,DTP3,96,96,96,96,96,96,95,93,89,89,88,72,99,98,95
EUR,CYP,Cyprus,DTP3,99,99,99,99,99,99,97,97,97,98,98,98,98,97,97
EUR,CZE,Czech Republic (the),DTP3,99,99,99,99,99,99,99,99,98,97,98,97,98,98,98
SEAR,PRK,Democratic People's Republic of Korea (the),DTP3,93,93,96,94,93,93,92,92,89,79,72,68,64,62,56
AFR,COD,Democratic Republic of the Congo (the),DTP3,80,74,75,74,60,72,65,70,62,60,54,41,38,30,40
EUR,DNK,Denmark,DTP3,94,94,94,91,90,89,88,87,93,93,95,96,98,97,97
EMR,DJI,Djibouti,DTP3,78,82,81,87,88,89,89,88,72,71,64,68,62,53,46
AMR,DMA,Dominica,DTP3,97,96,97,98,98,99,96,96,95,98,99,99,98,99,99
AMR,DOM,Dominican Republic (the),DTP3,91,83,85,84,88,82,82,85,89,87,79,79,82,72,78
AMR,ECU,Ecuador,DTP3,83,87,87,88,91,94,96,96,96,92,88,87,88,89,87
EMR,EGY,Egypt,DTP3,94,97,93,96,97,97,97,98,98,98,97,98,97,99,98
AMR,SLV,El Salvador,DTP3,93,92,92,89,89,91,98,99,96,89,90,94,81,92,99
AFR,GNQ,Equatorial Guinea,DTP3,24,3,20,33,44,43,42,41,40,39,38,37,36,35,34
AFR,ERI,Eritrea,DTP3,94,94,94,96,90,92,94,91,94,96,98,93,90,86,81
EUR,EST,Estonia,DTP3,93,94,94,93,94,95,95,95,95,96,94,94,94,94,93
AFR,ETH,Ethiopia,DTP3,77,72,69,65,61,58,54,50,46,44,40,37,35,32,30
WPR,FJI,Fiji,DTP3,99,99,99,99,99,99,99,99,98,96,95,94,93,91,90
EUR,FIN,Finland,DTP3,98,98,99,99,99,99,99,99,97,97,98,98,98,98,99
EUR,FRA,France,DTP3,99,99,99,99,99,98,98,98,99,98,98,97,97,97,97
AFR,GAB,Gabon,DTP3,70,79,82,75,67,76,82,81,45,45,45,45,45,45,45
AFR,GMB,Gambia (the),DTP3,96,97,98,96,97,98,96,95,95,95,87,87,87,87,80
EUR,GEO,Georgia,DTP3,91,96,92,94,92,88,92,98,88,82,78,75,84,87,80
EUR,DEU,Germany,DTP3,96,96,96,96,96,96,96,96,96,96,96,97,93,93,90
AFR,GHA,Ghana,DTP3,98,90,92,91,94,94,93,94,84,84,80,80,78,79,88
EUR,GRC,Greece,DTP3,99,99,99,99,99,99,99,99,98,96,95,94,92,91,89
AMR,GRD,Grenada,DTP3,97,97,97,94,97,99,99,96,91,99,83,97,98,96,97
AMR,GTM,Guatemala,DTP3,73,85,96,88,94,92,95,85,89,87,87,84,82,77,81
AFR,GIN,Guinea,DTP3,51,63,63,63,64,57,60,63,57,59,60,57,53,50,46
AFR,GNB,Guinea-Bissau,DTP3,80,80,80,80,80,80,77,74,71,68,64,60,57,53,49
AMR,GUY,Guyana,DTP3,98,98,97,93,95,98,93,94,93,93,91,90,91,85,88
AMR,HTI,Haiti,DTP3,48,68,68,68,67,65,64,63,61,60,58,56,54,51,49
AMR,HND,Honduras,DTP3,85,87,88,91,95,98,93,94,95,98,94,92,95,96,94
EUR,HUN,Hungary,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
EUR,ISL,Iceland,DTP3,90,91,89,95,96,96,98,97,97,95,99,97,95,92,98
SEAR,IND,India,DTP3,83,83,82,82,79,74,70,64,65,65,63,61,59,59,58
SEAR,IDN,Indonesia,DTP3,78,85,83,81,81,78,77,73,72,72,71,71,70,76,75
EMR,IRN,Iran (Islamic Republic of),DTP3,99,98,99,99,99,99,99,99,98,95,99,99,99,96,99
EMR,IRQ,Iraq,DTP3,64,68,69,79,74,78,69,57,59,65,74,75,77,78,80
EUR,IRL,Ireland,DTP3,96,96,95,95,94,94,93,92,91,90,89,86,83,84,86
EUR,ISR,Israel,DTP3,94,94,94,94,95,96,94,95,95,93,95,93,90,92,93
EUR,ITA,Italy,DTP3,94,96,97,96,96,96,96,97,96,95,94,96,93,93,87
AMR,JAM,Jamaica,DTP3,92,93,96,92,94,90,91,92,95,99,98,96,99,99,93
WPR,JPN,Japan,DTP3,98,98,98,98,98,98,98,98,98,98,99,97,96,95,85
EMR,JOR,Jordan,DTP3,98,98,98,98,98,98,97,98,98,95,95,97,95,99,91
EUR,KAZ,Kazakhstan,DTP3,95,98,99,99,99,98,99,93,99,98,82,99,95,95,97
AFR,KEN,Kenya,DTP3,81,76,83,88,83,84,85,81,80,76,73,73,84,80,82
WPR,KIR,Kiribati,DTP3,75,95,94,99,91,86,82,94,86,79,62,70,77,85,90
EMR,KWT,Kuwait,DTP3,95,99,98,99,98,99,99,99,99,99,98,99,99,99,98
EUR,KGZ,Kyrgyzstan,DTP3,96,97,96,96,96,95,95,94,92,98,99,98,98,99,99
WPR,LAO,Lao People's Democratic Republic (the),DTP3,88,87,79,78,74,67,61,50,57,49,45,49,53,52,51
EUR,LVA,Latvia,DTP3,92,94,91,92,92,94,94,94,96,99,99,98,97,97,96
EMR,LBN,Lebanon,DTP3,81,81,81,81,81,81,81,80,78,77,75,74,77,80,83
AFR,LSO,Lesotho,DTP3,96,96,96,96,93,91,88,88,89,89,90,90,84,78,83
AFR,LBR,Liberia,DTP3,50,76,80,77,70,81,75,65,60,60,31,35,39,42,46
EMR,LBY,Libya,DTP3,94,96,98,98,98,98,98,98,98,98,97,95,93,94,94
EUR,LTU,Lithuania,DTP3,93,93,93,92,95,98,96,95,94,94,94,94,95,95,94
EUR,LUX,Luxembourg,DTP3,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99
AFR,MDG,Madagascar,DTP3,73,74,70,73,70,77,77,84,85,85,78,66,62,60,57
AFR,MWI,Malawi,DTP3,91,89,96,97,93,93,91,87,99,93,89,84,64,90,75
WPR,MYS,Malaysia,DTP3,97,97,97,96,96,97,97,97,95,96,95,96,94,96,98
SEAR,MDV,Maldives,DTP3,99,99,99,96,96,98,98,98,98,98,96,98,98,98,98
AFR,MLI,Mali,DTP3,77,71,68,66,73,73,74,74,78,77,69,63,61,49,43
EUR,MLT,Malta,DTP3,99,99,99,96,76,73,72,74,85,92,89,94,95,95,94
WPR,MHL,Marshall Islands (the),DTP3,78,79,80,87,94,96,95,93,74,77,64,68,80,48,39
AFR,MRT,Mauritania,DTP3,84,80,80,75,64,64,74,75,68,71,70,76,89,75,51
AFR,MUS,Mauritius,DTP3,97,98,98,98,99,99,99,97,97,97,98,99,88,92,88
AMR,MEX,Mexico,DTP3,87,83,99,97,95,95,96,98,98,98,98,98,97,97,97
WPR,FSM,Micronesia (Federated States of),DTP3,81,81,81,84,85,91,85,79,67,94,78,92,84,75,85
EUR,MCO,Monaco,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
WPR,MNG,Mongolia,DTP3,99,98,99,99,96,95,96,95,99,99,99,98,98,95,94
EUR,MNE,Montenegro,DTP3,91,94,94,95,94,92,95,92,90,,,,,,
EMR,MAR,Morocco,DTP3,99,99,99,99,99,99,99,95,97,98,97,91,94,96,95
AFR,MOZ,Mozambique,DTP3,78,78,76,76,74,74,75,75,78,80,83,85,76,73,70
SEAR,MMR,Myanmar,DTP3,75,75,84,84,90,90,85,86,82,73,82,78,79,73,82
AFR,NAM,Namibia,DTP3,88,89,84,82,83,83,83,86,86,86,81,79,77,78,79
WPR,NRU,Nauru,DTP3,95,87,79,99,99,99,99,99,72,80,80,80,80,95,44
SEAR,NPL,Nepal,DTP3,92,92,90,92,82,89,82,82,89,75,80,78,72,72,74
EUR,NLD,Netherlands (the),DTP3,96,97,97,97,97,97,97,96,96,98,98,98,97,97,97
WPR,NZL,New Zealand,DTP3,93,92,93,95,93,92,89,88,89,89,89,90,90,90,90
AMR,NIC,Nicaragua,DTP3,98,98,98,98,98,98,97,93,88,86,79,86,85,87,83
AFR,NER,Niger (the),DTP3,68,67,71,75,70,71,67,57,51,45,43,41,39,36,34
AFR,NGA,Nigeria,DTP3,66,63,42,48,54,63,53,42,40,36,33,29,25,27,29
WPR,NIU,Niue,DTP3,99,99,98,98,99,99,99,98,99,84,99,94,99,99,99
EUR,NOR,Norway,DTP3,93,94,95,94,93,94,94,93,94,91,92,92,93,91,90
EMR,OMN,Oman,DTP3,99,98,98,99,99,98,99,99,98,99,99,99,99,99,99
EMR,PAK,Pakistan,DTP3,73,73,72,74,82,71,62,75,78,77,65,67,68,65,62
WPR,PLW,Palau,DTP3,95,99,89,84,69,49,92,94,98,98,98,99,99,98,96
AMR,PAN,Panama,DTP3,80,80,85,87,94,85,86,85,88,92,95,98,99,99,98
WPR,PNG,Papua New Guinea,DTP3,62,68,63,61,56,62,52,60,61,61,62,68,61,55,59
AMR,PRY,Paraguay,DTP3,87,86,87,89,89,85,89,95,98,96,92,86,87,89,86
AMR,PER,Peru,DTP3,88,88,95,91,93,93,93,93,94,77,86,94,95,90,98
WPR,PHL,Philippines (the),DTP3,79,94,86,80,79,87,91,87,88,89,88,84,79,79,78
EUR,POL,Poland,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98
EUR,PRT,Portugal,DTP3,98,98,98,97,98,96,97,97,97,93,95,99,98,97,96
EMR,QAT,Qatar,DTP3,99,99,92,93,97,99,97,94,96,97,96,92,96,93,80
WPR,KOR,Republic of Korea (the),DTP3,99,99,99,99,94,94,94,91,98,96,88,97,97,97,97
EUR,MDA,Republic of Moldova (the),DTP3,90,90,92,93,90,85,90,92,97,98,98,98,97,97,95
EUR,ROU,Romania,DTP3,94,92,91,89,94,95,96,96,97,97,97,97,98,99,99
EUR,RUS,Russian Federation (the),DTP3,97,97,97,97,97,98,98,98,99,98,97,97,96,96,96
AFR,RWA,Rwanda,DTP3,99,99,98,97,97,97,97,97,99,95,89,96,88,77,90
AMR,KNA,Saint Kitts and Nevis,DTP3,97,96,97,97,95,97,98,99,99,99,95,98,96,99,98
AMR,LCA,Saint Lucia,DTP3,99,99,98,99,97,95,96,99,85,95,91,90,74,99,70
AMR,VCT,Saint Vincent and the Grenadines,DTP3,98,97,96,96,99,99,99,99,99,99,99,99,99,99,98
WPR,WSM,Samoa,DTP3,91,95,92,91,87,72,46,71,56,64,68,94,96,93,99
EUR,SMR,San Marino,DTP3,80,69,96,86,79,92,87,92,95,95,98,96,96,96,96
AFR,STP,Sao Tome and Principe,DTP3,95,97,96,96,98,98,99,97,97,97,96,94,92,92,82
EMR,SAU,Saudi Arabia,DTP3,98,98,98,98,98,98,98,96,96,96,96,95,95,97,95
AFR,SEN,Senegal,DTP3,89,92,91,92,89,86,88,94,89,84,87,73,60,52,52
EUR,SRB,Serbia,DTP3,93,95,91,94,91,95,95,94,92,98,88,89,95,93,95
AFR,SYC,Seychelles,DTP3,99,98,98,99,99,99,99,99,99,99,99,99,99,96,98
AFR,SLE,Sierra Leone,DTP3,83,92,91,89,86,84,77,64,64,65,65,73,53,38,44
WPR,SGP,Singapore,DTP3,97,97,97,96,97,97,97,96,95,96,95,96,94,96,98
EUR,SVK,Slovakia,DTP3,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99
EUR,SVN,Slovenia,DTP3,95,95,96,96,96,96,97,97,97,95,94,95,93,92,91
WPR,SLB,Solomon Islands,DTP3,88,94,99,99,90,92,89,90,99,89,90,84,78,84,86
EMR,SOM,Somalia,DTP3,42,42,42,41,45,42,31,40,26,35,30,40,40,33,33
AFR,ZAF,South Africa,DTP3,70,65,68,72,66,70,73,72,74,72,64,69,70,71,73
AFR,SSD,South Sudan,DTP3,39,45,59,61,,,,,,,,,,,
EUR,ESP,Spain,DTP3,97,96,97,97,97,96,97,96,98,96,97,98,98,96,95
SEAR,LKA,Sri Lanka,DTP3,99,99,99,99,99,97,98,98,98,99,97,99,98,98,99
EMR,SDN,Sudan (the),DTP3,94,93,92,93,90,81,86,84,78,78,74,69,60,66,62
AMR,SUR,Suriname,DTP3,85,86,84,86,96,87,85,84,84,83,85,75,73,68,71
AFR,SWZ,Swaziland,DTP3,98,98,95,91,89,88,88,87,87,86,86,85,85,84,84
EUR,SWE,Sweden,DTP3,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99
EUR,CHE,Switzerland,DTP3,96,96,96,96,95,95,95,94,94,94,93,93,93,93,93
EMR,SYR,Syrian Arab Republic (the),DTP3,43,41,45,72,80,80,79,80,80,80,81,83,84,82,84
EUR,TJK,Tajikistan,DTP3,97,96,94,96,93,93,86,86,83,84,86,85,85,85,83
SEAR,THA,Thailand,DTP3,99,99,99,99,99,99,99,98,98,98,98,98,96,96,97
EUR,MKD,The former Yugoslav Republic of Macedonia,DTP3,95,98,95,96,95,96,95,95,93,97,94,96,96,91,95
SEAR,TLS,Timor-Leste,DTP3,77,82,83,67,72,72,79,70,63,55,57,55,54,,
AFR,TGO,Togo,DTP3,87,84,84,85,83,78,81,82,84,82,71,72,59,50,64
WPR,TON,Tonga,DTP3,82,82,77,82,82,84,86,87,88,89,90,90,84,89,91
AMR,TTO,Trinidad and Tobago,DTP3,92,92,92,90,90,90,90,88,92,95,94,91,96,91,90
EMR,TUN,Tunisia,DTP3,98,98,97,98,98,99,99,98,99,98,97,95,96,98,97
EUR,TUR,Turkey,DTP3,96,98,97,97,97,96,96,96,90,90,85,68,78,88,85
EUR,TKM,Turkmenistan,DTP3,98,98,97,97,96,96,96,98,98,99,97,83,98,95,97
WPR,TUV,Tuvalu,DTP3,90,90,97,96,89,88,99,97,97,93,98,93,98,96,82
AFR,UGA,Uganda,DTP3,78,78,78,82,80,79,71,73,64,64,62,59,57,55,52
EUR,UKR,Ukraine,DTP3,76,76,76,50,52,71,90,98,98,96,99,97,99,99,99
EMR,ARE,United Arab Emirates (the),DTP3,94,94,94,94,94,93,92,92,92,94,94,94,94,94,94
EUR,GBR,United Kingdom of Great Britain and Northern Ireland (the),DTP3,95,95,95,95,94,93,92,92,92,91,92,91,91,91,91
AFR,TZA,United Republic of Tanzania,DTP3,97,91,92,90,91,85,86,83,90,90,95,95,89,87,79
AMR,USA,United States of America (the),DTP3,94,94,96,95,95,95,96,95,96,96,96,96,94,94,94
AMR,URY,Uruguay,DTP3,95,94,95,95,95,95,94,94,95,96,94,91,95,94,90
EUR,UZB,Uzbekistan,DTP3,99,99,99,99,99,98,98,96,96,99,99,98,99,99,99
WPR,VUT,Vanuatu,DTP3,64,64,64,65,65,66,67,67,68,68,69,69,70,70,71
AMR,VEN,Venezuela (Bolivarian Republic of),DTP3,78,82,81,78,78,84,50,62,71,87,86,68,65,70,77
WPR,VNM,Viet Nam,DTP3,95,59,97,95,93,96,93,92,94,95,96,99,75,96,96
EMR,YEM,Yemen,DTP3,88,88,82,81,87,86,87,87,85,85,78,66,69,76,76
AFR,ZMB,Zambia,DTP3,86,79,78,81,83,94,87,80,81,82,83,83,84,85,85
AFR,ZWE,Zimbabwe,DTP3,91,95,95,93,89,73,75,73,70,68,65,68,71,75,78